# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
  2.300000000000E-04  3.536201499669E+14  1.241021899922E+20  1.518547432957E+03  3.750291909481E-01  3.060634444591E+00  1.522196999422E+00
  2.350000000000E-04  3.808810499514E+14  1.249512211932E+20  1.469091365497E+03  3.812477544001E-01  3.042277854282E+00  1.589098852422E+00
  2.400000000000E-04  4.086258299469E+14  1.257724178406E+20  1.421256660783E+03  3.874044421119E-01  3.024276127344E+00  1.657439454948E+00
  2.450000000000E-04  4.367174191257E+14  1.265666924597E+20  1.374990164221E+03  3.934998697574E-01  3.006615627018E+00  1.727218807000E+00
  2.500000000000E-04  4.650121136155E+14  1.273349276595E+20  1.330240463835E+03  3.995346468845E-01  2.989283606514E+00  1.798436908580E+00
  2.550000000000E-04  4.933610205791E+14  1.280779771137E+20  1.286957833129E+03  4.055093769759E-01  2.972268128793E+00  1.871093759687E+00
  2.600000000000E-04  5.216115750073E+14  1.287966665092E+20  1.245094175839E+03  4.114246575095E-01  2.955557995135E+00  1.945189360320E+00
  2.650000000000E-04  5.496091053409E+14  1.294917944638E+20  1.204602972483E+03  4.172810800184E-01  2.939142681384E+00  2.020723710481E+00
  2.700000000000E-04  5.771984235251E+14  1.301641334134E+20  1.165439228669E+03  4.230792301498E-01  2.923012280931E+00  2.097696810168E+00
  2.750000000000E-04  6.042254150962E+14  1.308144304704E+20  1.127559425097E+03  4.288196877233E-01  2.907157453599E+00  2.176108659382E+00
  2.800000000000E-04  6.305386053813E+14  1.314434082541E+20  1.090921469199E+03  4.345030267897E-01  2.891569379733E+00  2.255959258123E+00
  2.850000000000E-04  6.559906788422E+14  1.320517656933E+20  1.055484648366E+03  4.401298156875E-01  2.876239718879E+00  2.337248606391E+00
  2.900000000000E-04  6.804399299606E+14  1.326401788033E+20  1.021209584707E+03  4.457006171003E-01  2.861160572527E+00  2.419976704186E+00
